Shrt_Desc,Energ_Kcal,FA_Sat,Cholestrl
"Bev,Carb,Lo Cal,Cola Or Peper-Type,W/ Na Saccharin, Caffeine",0,0,0
"Bev,Carb,Lo Cal,Other Than Cola Or Pepper,W/ Asprt, Caffeine",0,0,0
"Bev,Gerolsteiner Brunnen,Naturally Sparkling,Min Btld H2O",0,0,0
"Beverage, Coca-Cola Co,Glaceau Vit H2O,Revive Frt Punch,Fort",0,0,0
"Beverage,Gmbh & Co. Kg,Gerolsteiner Naturally Spark Min H2O,",0,0,0
"Beverages,Carb,Club Soda",0,0,0
"Beverages,Carb,Lo Cal,Other Than Cola Or Pepper,Wo/ Caffeine",0,0,0
"Beverages,H2O,Btld,Perrier",0,0,0
"Beverages,H2O,Btld,Poland Spring",0,0,0
"Beverages,H2O,Tap,Drinking",0,0,0
"Beverages,H2O,Tap,Municipal",0,0,0
"Beverages,Icelandic,Glacial Nat Spring H2O",0,0,0
"Beverages,Powerade Zero Ion4,Calorie-Free,Assorted Flavors",0,0,0
"Beverages,Powerade,Zero,Mxd Berry",0,0,0
"Beverages,Tea,Black,Ready To Drk",0,0,0
"Beverages,Tea,Black,Ready To Drk,Decaffeinated,Diet",0,0,0
"Beverages,Tea,Grn,Brewed,Decaffeinated",0,0,0
"Beverages,Tea,Grn,Ready To Drk,Unswtnd",0,0,0
"Beverages,Tea,Grn,Rtd,Diet",0,0,0
"Beverages,Tea,Hibiscus,Brewed",0,0,0
"Beverages,Zevia,Cola",0,0,0
"Beverages,Zevia,Cola,Caffeine Free",0,0,0
"Carbonated Bev,Local,Othr Than Cola Or Pep,W/ Na Sac,Wo/ Caf",0,0,0
"Leavening Agents,Baking Soda",0,0,0
"Salt,Table",0,0,0
"Seasoning Mix,Dry,Sazon,Coriander & Annatto",0,0,0
"Sweetener,Herbal Extract Pdr From Stevia Leaf",0,0,0
"Water,Btld,Generic",0,0,0
"Beverages,Coffee,Brewed,Prep W/ Tap H2O,Decaffeinated",0,0.002,0
"Beverages,Carb,Lo Cal,Cola Or Pepper-Type,W/ Asprt,Wo/ Caf",1,0,0
"Beverages,Energy Drk,Vault Zero,Sugar-Free,Citrus Flavor",1,0,0
"Beverages,Tea,Black,Rtd,Lemon,Diet",1,0,0
"Beverages,Tea,Black,Rtd,Peach,Diet",1,0,0
"Beverages,Tea,Grn,Brewed,Reg",1,0,0
"Beverages,Tea,Grn,Rtd,Citrus,Diet,Fort W/ Vit C",1,0,0
"Beverages,Tea,Inst,Unswtnd,Prep W/ H2O",1,0,0
"Beverages,Tea,Oolong,Brewed",1,0,0
"Beverages,Wendy'S,Tea,Rtd,Unswtnd",1,0,
"Tea,Tundra,Herb & Laborador Combination (Alaska Native)",1,0,0
"Water,Non-Carbonated,Fruit Flavors,Swtnd W/ Lo Cal Swtnr",1,0,0
"Beverages,Coffee,Brewed,Prep W/ Tap H2O",1,0.002,0
"Beverages,Tea,Black,Brewed,Prep W/ Distilled H2O",1,0.002,0
"Beverages,Tea,Black,Brewed,Prep W/ Tap H2O",1,0.002,0
"Beverages,Tea,Black,Brewed,Prep W/ Tap H2O,Decaffeinated",1,0.002,0
"Beverages,Tea,Herb,Brewed,Chamomile",1,0.002,0
"Beverages,Tea,Herb,Other Than Chamomile,Brewed",1,0.002,0
"Beverages,Carb,Lo Cal,Cola Or Pepper-Type,W/ Asprt, Caffeine",2,0,0
"Beverages,Coffee,Brewed,Brkfst Blend",2,0,0
"Beverages,Energy Drk,Amp,Sugar Free",2,0,0
"Beverages,Snapple,Tea,Black & Grn,Ready To Drk,Lemon,Diet",2,0,0
"Beverages,Snapple,Tea,Black & Grn,Ready To Drk,Peach,Diet",2,0,0
"Beverages,Tea,Inst,Lemon,Diet",2,0,0
"Beverages,Tea,Rtd,Lemon,Diet",2,0,0
"Beverages,Coffee,Inst,Decaffeinated,Prep W/ H2O",2,0.001,0
"Beverages,Coffee,Inst,Reg,Prep W/ H2O",2,0.002,0
"Clam,Mxd Sp,Cnd,Liq",2,0.002,3
"Beverages,Coffee,Inst,Chicory",3,0.001,0
"Soup,Bf Broth Or Bouillon,Pdr,Prep W/H2O",3,0.04,0
"Soup,Bf Broth,Cubed,Prep W/H2O",3,0.04,0
"Bev, Coca-Cola Comy,Nos 0,Eney Drk,Sug-Fre, Guana,  B6 & B12",4,0,0
"Bever,Veg & Fruit Juc Drk,Red Cal,W/ Low-Cal Swtnr,Add Vit C",4,0,0
"Beverages,Energy Drk,Rockstar,Sugar Free",4,0,0
"Beverages,Energy Drk,Sugar Free",4,0,0
"Soup,Swanson Chick Broth 99% Fat Free",4,0,0
"Bev, Ocean Spray, Cran Cherry Diet",4,0.001,0
"Beverages,Ocean Spray,Diet Cranberry Juc",4,0.001,0
"Soup,Chick Broth Or Bouillon,Dry,Prep W/ H2O",4,0.057,0
"Bev,H2O,Btld,Yumberry,Pomegranate W/ Anti-Oxidants, 0 Cal",5,0,0
"Beverages,Energy Drk,Red Bull,Sugar Free,W/ Added Caffeine,",5,0,0
"Beverages,Monster Energy Drk,Lo Carb",5,0,0
"Beverages,Propel Zero,Fruit-Flavored,Non-Carbonated",5,0,0
"Swanson Broth,Cert Organic Veg Broth",5,0,0
"Soup,Veg Broth,Ready To Serve",5,0.028,0
"Soup,Chick Broth Cubes,Dry,Prep W/ H2O",5,0.03,0
"Beverages,Wine,Non-Alcoholic",6,0,0
"Beverages,Coffee Sub,Crl Grain Bev,Prep W/ H2O",6,0.01,0
"Soup,Chick Broth,Rts",6,0.013,2
"Soup,Swanson,Bf Broth,Lower Na",6,0.03,0
"Soup,Swanson,Veg Broth",6,0.031,0
"Soup,Bf Broth,Less/Reduced Na,Ready To Serve",6,0.042,0
"Soup,Chick Broth,Less/Reduced Na,Ready To Serve",7,0,0
"Soup,Bf Broth Or Bouillon Cnd,Rts",7,0.11,0
"Beverages,Pepsico Quaker,Gatorade G2,Lo Cal",8,0,0
"Gravy,Campbell'S,Au Jus",8,0,0
"Beverages,Coffee,Brewed,Espresso,Rest-Prep",9,0.092,0
"Beverages,Coffee,Brewed,Espresso,Rest-Prep,Decaffeinated",9,0.092,0
"Beverages,Tropical Punch,Rtd",10,0,0
"Fluid Replcmnt,Electrolyte Soln (Include Pedialyte)",10,0,0
"Campbell'S Lo Na Soups,Chick Broth",10,0.168,2
"Pectin,Liquid",11,0,0
"Soup,Bf Broth Bouillon & Consomme,Cnd,Cond",11,0,0
"Waxgourd,(Chinese Preserving Melon),Ckd,Bld,Drnd,W/Salt",11,0.016,0
"Taro Shoots,Raw",11,0.018,0
"Watercress,Raw",11,0.027,0
"Bamboo Shoots,Ckd,Bld,Drnd,W/Salt",11,0.051,0
"Pickles,Cucumber,Sour",11,0.052,0
"Pickles,Cucumber,Sour,Lo Na",11,0.052,0
"Campbell'S Red & White,Bf Broth,Cond",12,0,0
"Soup,Bf Broth,Bouillon,Consomme,Prep W/ Eq Volume H2O",12,0,0
"Soup,Onion,Dry,Mix,Prep W/ H2O",12,0.004,0
"Cucumber,Peeled,Raw",12,0.013,0
"Beans,Mung,Mature Seeds,Sprouted,Cnd,Drnd Sol",12,0.016,0
"Cabbage,Chinese (Pak-Choi),Ckd,Bld,Drnd,W/Salt",12,0.021,0
"Cabbage,Chinese (Pak-Choi),Ckd,Bld,Drnd,Wo/Salt",12,0.021,0
"New Zealand Spinach,Ckd,Bld,Drnd,W/Salt",12,0.027,0
"New Zealand Spinach,Ckd,Bld,Drnd,Wo/Salt",12,0.027,0
"Bamboo Shoots,Ckd,Bld,Drnd,Wo/Salt",12,0.051,0
"Pickles,Cucumber,Dill Or Kosher Dill",12,0.079,0
"Pickles,Cucumber,Dill,Red Na",12,0.079,0
"Pace,Jalapenos Nacho Sliced Peppers",13,0,0
"Gourd,White-Flowered (Calabash),Ckd,Bld,Drnd,W/Salt",13,0.002,0
"Squash,Smmr,Crookneck&Straightneck,Cnd,Drnd,Solid,Wo/Salt",13,0.015,0
"Waxgourd,(Chinese Preserving Melon),Raw",13,0.016,0
"Cabbage,Chinese (Pak-Choi),Raw",13,0.027,0
"Lettuce,Butterhead (Incl Boston&Bibb Types),Raw",13,0.029,0
"Soup,Stock,Beef,Home-Prepared",13,0.035,0
"Lemonade,Pdr,Prep W/H2O",14,0,0
"V8 60% Veg Juc,V8 V-Lite",14,0,0
"Gourd,White-Flowered (Calabash),Raw",14,0.002,0
"Taro Shoots,Ckd,Wo/Salt",14,0.016,0
"Taro,Shoots,Ckd,W/Salt",14,0.016,0
"Waxgourd,(Chinese Preserving Melon),Ckd,Bld,Drnd,Wo/Salt",14,0.016,0
"Lettuce,Iceberg (Incl Crisphead Types),Raw",14,0.018,0
"Squash,Smmr,Zucchini,Incl Skn,Frz,Ckd,Bld,Drnd,W/Salt",14,0.027,0
"Radishes,White Icicle,Raw",14,0.03,0
"New Zealand Spinach,Raw",14,0.032,0
"Cabbage,Chinese (Pe-Tsai),Ckd,Bld,Drnd,W/Salt",14,0.036,0
"Cabbage,Chinese (Pe-Tsai),Ckd,Bld,Drnd,Wo/Salt",14,0.036,0
"Turnip Grns,Cnd,Sol&Liquids",14,0.07,0
"Beverages,Almond Milk,Unswtnd,Shelf Stable",15,0,0
"Beverages,Aloe Vera Juc Drk,Fort W/ Vit C",15,0,0
"Beverages,Ocean Spray,Cran-Energy,Cranberry Energy Juc Drk",15,0,0
"Gourd,White-Flowered (Calabash),Ckd,Bld,Drnd,Wo/Salt",15,0.002,0
"Nopales,Ckd,Wo/Salt",15,0.006,0
"Tomatoes,Red,Ripe,Cnd,W/Grn Chilies",15,0.011,0
"Lettuce,Grn Leaf,Raw",15,0.02,0
"Beans,Snap,Grn,Cnd,No Salt,Sol&Liquids",15,0.023,0
"Beans,Snap,Yel,Cnd,No Salt,Sol&Liquids",15,0.023,0
"Beans,Snap,Yel,Cnd,Reg Pk,Sol&Liquids",15,0.023,0
"Pumpkin Flowers,Raw",15,0.036,0
"Tomatoes,Yellow,Raw",15,0.036,0
"Cucumber,With Peel,Raw",15,0.037,0
"Beans,Snap,Grn,Cnd,Reg Pk,Sol & Liquids",15,0.04,0
"Asparagus,Cnd,No Salt,Sol&Liquids",15,0.041,0
"Pumpkin Flowers,Ckd,Bld,Drnd,Wo/Salt",15,0.041,0
"Pumpkin,Flowers,Ckd,Bld,Drnd,W/Salt",15,0.041,0
"Asparagus,Cnd,Reg Pk,Sol&Liquids",15,0.044,0
"Cabbage,Kimchi",15,0.067,0
"Squash,Smmr,Zucchini,Incl Skn,Ckd,Bld,Drnd,W/Salt",15,0.072,0
"Squash,Smmr,Zucchini,Incl Skn,Ckd,Bld,Drnd,Wo/Salt",15,0.072,0
"Campbells Red & White,Bf Consomme,Cond",16,0,0
"Campbell'S Red&White,Chick Broth,Cond",16,0,4
"Nopales,Raw",16,0.016,0
"Lettuce,Red Leaf,Raw",16,0.017,0
"Turnips,Frozen,Unprepared",16,0.017,0
"Tomatoes,Orange,Raw",16,0.025,0
"Peppers,Swt,Grn,Frz,Chopd,Ckd,Bld,Drnd,W/Salt",16,0.027,0
"Peppers,Swt,Red,Frz,Chopd,Bld,Drnd,W/ Salt",16,0.027,0
"Peppers,Swt,Red,Frz,Chopd,Bld,Drnd,Wo/ Salt",16,0.027,0
"Radishes,Raw",16,0.032,0
"Tomatoes,Red,Ripe,Cnd,Packed In Tomato Juc",16,0.034,0
"Tomatoes,Red,Ripe,Cnd,Packed In Tomato Juc,No Salt Added",16,0.034,0
"Squash,Smmr,Scallop,Ckd,Bld,Drnd,W/Salt",16,0.035,0
"Squash,Smmr,Scallop,Ckd,Bld,Drnd,Wo/Salt",16,0.035,0
"Celery,Raw",16,0.042,0
"Cabbage,Chinese (Pe-Tsai),Raw",16,0.043,0
"Squash,Smmr,All Var,Raw",16,0.044,0
"Beans,Snap,Cnd,All Styles,Seasoned,Sol&Liquids",16,0.045,0
"Gravy,Au Jus,Canned",16,0.1,0
Fish Broth,16,0.133,0
"Soup,Chick Broth,Cnd,Prep W/ Eq Volume H2O",16,0.16,0
"Soup,Chick Broth,Lo Na,Cnd",16,0.179,0
"Soup,Stock,Fish,Home-Prepared",16,0.203,1
"Cardoon,Raw",17,0.011,0
"Tomato Juc,Cnd,W/Salt",17,0.019,0
"Tomato Juc,Cnd,Wo/ Salt Added",17,0.019,0
"Chicory,Witloof,Raw",17,0.024,0
"Lemon Juc From Conc,Btld,Real Lemon",17,0.027,
"Lemon Juc From Conc,Cnd Or Btld",17,0.027,0
"Squash,Smmr,Zucchini,Incl Skn,Frz,Ckd,Bld,Drnd,Wo/Salt",17,0.027,0
"Squash,Smmr,Zucchini,Incl Skn,Frz,Unprep",17,0.027,0
"Cauliflower,Frz,Ckd,Bld,Drnd,W/Salt",17,0.034,0
"Lettuce,Cos Or Romaine,Raw",17,0.039,0
"Endive,Raw",17,0.048,0
"Radishes,Oriental,Ckd,Bld,Drnd,W/Salt",17,0.073,0
"Radishes,Oriental,Ckd,Bld,Drnd,Wo/Salt",17,0.073,0
"Squash,Smmr,Zucchini,Incl Skn,Raw",17,0.084,0
"Beverages,Carb,Limeade,Hi Caffeine",18,0,0
"Beverages,Cocnt H2O,Rtd,Unswtnd",18,0,0
"Vinegar,Distilled",18,0,0
"Water,W/ Corn Syrup And/Or Sugar & Lo Cal Swtnr,Fruit Flav",18,0,0
"Tomatoes,Red,Ripe,Ckd",18,0.015,0
"Tomatoes,Red,Ripe,Ckd,W/ Salt",18,0.015,0
"Peppers,Swt,Grn,Frz,Chopd,Bld,Drnd,Wo/Salt",18,0.027,0
"Tomatoes,Red,Ripe,Raw,Year Rnd Average",18,0.028,0
"Radishes,Oriental,Raw",18,0.03,0
"Pumpkin,Ckd,Bld,Drnd,W/Salt",18,0.037,0
"Celery,Ckd,Bld,Drnd,W/Salt",18,0.04,0
"Celery,Ckd,Bld,Drnd,Wo/Salt",18,0.04,0
"Squash,Summer,Scallop,Raw",18,0.041,0
"Peppers,Swt,Grn,Cnd,Sol&Liquids",18,0.045,0
"Peppers,Swt,Red,Cnd,Sol&Liquids",18,0.045,0
"Asparagus,Frz,Ckd,Bld,Drnd,W/Salt",18,0.096,0
"Asparagus,Frz,Ckd,Bld,Drnd,Wo/Salt",18,0.096,0
"Beverages,Cranberry-Apple Juc Drk,Lo Cal,W/ Vit C Added",19,0,0
"Cranberry Juc Cocktail,Btld,Lo Cal,W/Ca,Saccharin&Corn Swtnr",19,0,0
"Vinegar,Red Wine",19,0,
"Beverages,Ocean Spray,Lt Cranberry",19,0.004,0
"Mustard Grns,Frz,Ckd,Bld,Drnd,W/Salt",19,0.013,0
"Mustard Grns,Frz,Ckd,Bld,Drnd,Wo/Salt",19,0.013,0
"Balsam-Pear (Bitter Gourd),Pods,Ckd,Bld,Drnd,Wo/Salt",19,0.014,0
"Onions,Cnd,Sol&Liquids",19,0.016,0
"Mung Bns,Mature Seeds,Sprouted,Ckd,Bld,Drnd,W/Salt",19,0.025,0
"Chayote,Fruit,Raw",19,0.028,0
"Chard,Swiss,Raw",19,0.03,0
"Cauliflower,Frz,Ckd,Bld,Drnd,Wo/Salt",19,0.034,0
"Sauerkraut,Cnd,Sol&Liquids",19,0.034,0
"Escarole,Ckd,Bld,Drnd,No Salt Added",19,0.042,0
"Spinach,Cnd,No Salt,Sol&Liquids",19,0.06,0
"Spinach,Cnd,Reg Pk,Sol&Liquids",19,0.06,0
"Squash,Smmr,Crookneck&Straightneck,Ckd,Bld,Drnd,W/Salt",19,0.064,0
"Turnip Grns,Cnd,No Salt",19,0.07,0
"Vegetable Juc Cocktail,Lo Na,Cnd",19,0.089,0
"Bamboo Shoots,Cnd,Drnd Sol",19,0.092,0
"Squash,Smmr,Crookneck&Straightneck,Raw",19,0.093,0
"Asparagus,Cnd,Drnd Sol",19,0.147,0
Coconut H2O (Liq From Coconuts),19,0.176,0
"Pumpkin Leaves,Raw",19,0.207,0
"Beverages,Carb,Red Sugar,Cola,Contains Caffeine & Sweeteners",20,0,0
"Gelatin Dssrt,Dry Mix,Red Cal,W/ Asprt,Prep W/ H2O",20,0,0
"V8 Veg Juc,Organic V8",20,0,0
"Cardoon,Ckd,Bld,Drnd,W/Salt",20,0.012,0
"Chard,Swiss,Ckd,Bld,Drnd,Wo/Salt",20,0.012,0
"Mustard Grns,Frz,Unprep",20,0.014,0
"Gourd,Dishcloth (Towelgourd),Raw",20,0.016,0
"Mcdonald'S,Side Salad",20,0.02,0
